(-0.49699398797595196, -0.0030060120240480437, 3.006012024048096)
(-0.49699398797595196, -0.0030060120240480437, 3.006012024048096),(324.0, 385.0, 424.0, 285.0)
(0.2530029999879517, -0.5180641844811869, 0.6024072192481156),(176.0, 316.0, 276.0, 216.0)
(0.22463312092516474, -0.5379834612699522, 0.12072288962888089),(165.0, 301.0, 265.0, 201.0)
(0.21628654839571304, -0.5383463557277544, 0.024192963853483157),(239.0, 266.0, 339.0, 166.0)
(0.21820162268872423, -0.536722178795707, 0.004848289349395435),(20.0, 172.0, 120.0, 72.0)
(0.2164575987644427, -0.5354833874288775, 0.0009716010720231261),(377.0, 197.0, 477.0, 97.0)
(0.21680320836421046, -0.5352838100543638, 0.00019470963367196337),(153.0, 132.0, 253.0, 32.0)
(0.21678506407971, -0.5352184516101952, 3.90199666677471e-05),(215.0, 286.0, 315.0, 186.0)
(0.2167862761227628, -0.5352173959597945, 7.819632598743409e-06),(214.0, 293.0, 314.0, 193.0)
(0.21678650334655575, -0.5352172941008528, 1.567060641027851e-06),(396.0, 189.0, 496.0, 89.0)
(0.2167871204355657, -0.5352169470864223, 3.1404020861547366e-07),(246.0, 351.0, 346.0, 251.0)
(0.21678714969983365, -0.5352169794973857, 6.293390955591782e-08),(324.0, 235.0, 424.0, 135.0)
(0.216787165401781, -0.5352169713626418, 1.2612005911849522e-08),(280.0, 341.0, 380.0, 241.0)
(0.21678716743638315, -0.5352169724115361, 2.5274561055166345e-09),(188.0, 345.0, 288.0, 245.0)
(0.2167871673781352, -0.5352169726419955, 5.065042274488007e-10),(233.0, 271.0, 333.0, 171.0)
